PurchaseOrderId,SupplierId,StoreId,ProductId,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,QuantityOrdered,UnitCostGold
PO0031,SUP003,S010,P046,2026-02-18,2026-02-20,2026-02-21,21,37.23
PO0032,SUP004,S003,P041,2026-01-31,2026-02-07,2026-02-10,43,144.79
PO0033,SUP007,S012,P054,2026-04-10,2026-04-15,2026-04-16,89,1.67
PO0034,SUP007,S011,P006,2026-01-03,2026-01-10,2026-01-18,115,0.63
PO0035,SUP005,S002,P030,2026-01-19,2026-01-23,2026-01-23,28,4.02
PO0036,SUP008,S004,P032,2026-02-20,2026-02-22,2026-02-22,7,55.03
PO0037,SUP008,S004,P032,2026-03-29,2026-04-03,2026-04-03,45,60.04
PO0038,SUP001,S003,P029,2026-02-08,2026-02-10,2026-02-13,89,129.39
PO0039,SUP002,S002,P039,2026-02-13,2026-02-17,2026-02-17,83,0.5
PO0040,SUP001,S009,P001,2026-04-05,2026-04-09,2026-04-12,29,1.56
PO0041,SUP009,S009,P035,2026-03-07,2026-03-10,2026-03-10,51,1.83
PO0042,SUP004,S006,P014,2026-01-18,2026-01-21,2026-01-21,93,5.12
PO0043,SUP008,S008,P018,2026-01-26,2026-01-28,2026-01-28,75,6.05
PO0044,SUP005,S007,P030,2026-03-07,2026-03-12,2026-03-15,37,4.17
PO0045,SUP006,S007,P044,2026-01-14,2026-01-20,2026-01-21,80,48.82
PO0046,SUP005,S012,P051,2026-03-04,2026-03-09,2026-03-12,59,3.27
PO0047,SUP008,S010,P018,2026-01-14,2026-01-20,2026-01-20,30,5.85
PO0048,SUP002,S008,P024,2026-01-22,2026-01-24,2026-01-29,37,1.4
PO0049,SUP003,S007,P019,2026-01-04,2026-01-06,2026-01-06,46,75.8
PO0050,SUP002,S004,P012,2026-01-10,2026-01-13,2026-01-13,52,0.85
PO0051,SUP004,S001,P021,2026-02-10,2026-02-17,2026-02-17,47,5.18
PO0052,SUP009,S004,P037,2026-03-13,2026-03-15,2026-03-15,82,7.96
PO0053,SUP004,S009,P014,2026-02-05,2026-02-12,2026-02-12,118,4.88
PO0054,SUP006,S010,P043,2026-03-24,2026-03-29,2026-03-29,60,9.6
PO0055,SUP004,S004,P021,2026-01-07,2026-01-12,2026-01-12,40,5.67
PO0056,SUP004,S003,P008,2026-03-18,2026-03-22,2026-03-22,35,4.02
PO0057,SUP003,S011,P019,2026-04-11,2026-04-17,2026-04-25,64,71.27
PO0058,SUP007,S001,P054,2026-03-10,2026-03-16,2026-03-16,87,1.65
PO0059,SUP003,S007,P031,2026-04-03,2026-04-07,2026-04-07,101,37.16
PO0060,SUP007,S008,P006,2026-03-20,2026-03-22,2026-03-22,94,0.9
PO0061,SUP008,S006,P032,2026-03-21,2026-03-23,2026-03-23,11,64.42
PO0062,SUP005,S006,P009,2026-04-21,2026-04-28,2026-04-29,33,2.21
PO0063,SUP002,S009,P013,2026-01-01,2026-01-08,2026-01-10,38,3.81
PO0064,SUP001,S001,P003,2026-02-08,2026-02-10,2026-02-10,93,1.72
PO0065,SUP005,S005,P052,2026-03-31,2026-04-03,2026-04-06,79,7.09
PO0066,SUP005,S003,P009,2026-04-07,2026-04-13,2026-04-16,119,2.46
PO0067,SUP001,S009,P029,2026-03-09,2026-03-12,2026-03-12,89,125.5
PO0068,SUP008,S012,P018,2026-03-03,2026-03-06,2026-03-06,103,5.24
PO0069,SUP007,S009,P006,2026-04-17,2026-04-20,2026-04-20,99,0.86
PO0070,SUP003,S002,P045,2026-03-05,2026-03-07,2026-03-07,90,7.45
PO0071,SUP004,S004,P053,2026-03-04,2026-03-06,2026-03-06,109,6.53
PO0072,SUP003,S005,P034,2026-04-01,2026-04-06,2026-04-06,113,4.06
PO0073,SUP010,S004,P059,2026-02-16,2026-02-21,2026-03-01,116,3.93
PO0074,SUP002,S004,P013,2026-01-09,2026-01-13,2026-01-13,92,3.05
PO0075,SUP010,S003,P056,2026-03-01,2026-03-03,2026-03-04,35,0.58
PO0076,SUP005,S005,P030,2026-01-04,2026-01-09,2026-01-09,62,4.52
PO0077,SUP004,S006,P008,2026-02-25,2026-02-28,2026-02-28,69,3.79
PO0078,SUP005,S008,P022,2026-02-04,2026-02-08,2026-02-08,88,13.72
PO0079,SUP003,S004,P060,2026-02-07,2026-02-10,2026-02-10,81,101.05
PO0080,SUP002,S009,P039,2026-02-25,2026-02-27,2026-02-27,87,0.43
PO0081,SUP004,S002,P008,2026-01-07,2026-01-09,2026-01-09,35,3.22
PO0082,SUP004,S004,P007,2026-04-23,2026-04-29,2026-04-29,56,48.79
PO0083,SUP004,S012,P007,2026-04-16,2026-04-23,2026-04-23,31,44.29
PO0084,SUP004,S011,P014,2026-02-06,2026-02-13,2026-02-13,98,3.49
PO0085,SUP002,S012,P012,2026-02-09,2026-02-16,2026-02-16,45,1.06
PO0086,SUP001,S006,P011,2026-02-28,2026-03-03,2026-03-08,90,1.07
PO0087,SUP005,S003,P022,2026-02-03,2026-02-05,2026-02-05,102,16.43
PO0088,SUP002,S008,P039,2026-03-16,2026-03-18,2026-03-18,36,0.47
PO0089,SUP001,S010,P003,2026-03-29,2026-04-02,2026-04-04,72,1.65
PO0090,SUP001,S002,P049,2026-01-13,2026-01-17,2026-01-19,47,5.44
PO0091,SUP001,S009,P048,2026-02-02,2026-02-09,2026-02-09,51,1.24
PO0092,SUP004,S005,P053,2026-04-01,2026-04-05,2026-04-08,104,6.71
PO0093,SUP010,S002,P056,2026-02-04,2026-02-11,2026-02-11,86,0.58
PO0094,SUP001,S011,P027,2026-01-19,2026-01-23,2026-01-23,36,6.8
PO0095,SUP003,S006,P045,2026-01-27,2026-02-03,2026-02-03,53,8.87
PO0096,SUP008,S009,P018,2026-01-23,2026-01-27,2026-01-30,49,6.58
PO0097,SUP005,S005,P026,2026-02-09,2026-02-12,2026-02-12,71,10.7
PO0098,SUP007,S007,P054,2026-04-12,2026-04-17,2026-04-17,106,2.28
PO0099,SUP003,S001,P019,2026-03-05,2026-03-12,2026-03-12,92,67.09
PO0100,SUP003,S005,P019,2026-03-04,2026-03-08,2026-03-08,42,62.89
PO0101,SUP001,S005,P003,2026-04-16,2026-04-22,2026-04-22,67,1.52
PO0102,SUP001,S011,P028,2026-04-17,2026-04-19,2026-04-19,22,7.47
PO0103,SUP003,S002,P019,2026-04-02,2026-04-06,2026-04-06,98,68.54
PO0104,SUP004,S005,P038,2026-01-29,2026-01-31,2026-01-31,50,11.33
PO0105,SUP006,S007,P044,2026-02-21,2026-02-23,2026-02-26,43,54.85
PO0106,SUP002,S011,P012,2026-04-23,2026-04-27,2026-04-29,22,1.06
PO0107,SUP002,S003,P013,2026-02-23,2026-03-01,2026-03-01,44,2.75
PO0108,SUP009,S009,P037,2026-01-24,2026-01-29,2026-01-30,111,8.77
PO0109,SUP005,S012,P009,2026-02-10,2026-02-16,2026-02-21,96,2.4
PO0110,SUP005,S008,P023,2026-02-23,2026-02-28,2026-02-28,76,28.21
PO0111,SUP001,S002,P050,2026-04-07,2026-04-10,2026-04-10,43,24.75
PO0112,SUP004,S003,P038,2026-03-21,2026-03-27,2026-03-30,117,11.56
PO0113,SUP001,S003,P049,2026-02-21,2026-02-28,2026-02-28,108,6.13
PO0114,SUP003,S001,P034,2026-01-11,2026-01-13,2026-01-13,88,3.41
PO0115,SUP002,S005,P039,2026-03-14,2026-03-19,2026-03-19,115,0.4
PO0116,SUP001,S012,P048,2026-01-27,2026-02-02,2026-02-02,99,1.5
PO0117,SUP005,S011,P009,2026-03-23,2026-03-26,2026-03-26,44,2.77
PO0118,SUP003,S008,P060,2026-03-21,2026-03-28,2026-03-28,13,88.8
PO0119,SUP002,S009,P039,2026-01-13,2026-01-16,2026-01-16,65,0.39
PO0120,SUP003,S007,P033,2026-01-08,2026-01-10,2026-01-10,66,23.62
PO0121,SUP004,S009,P053,2026-02-03,2026-02-09,2026-02-09,114,6.7
PO0122,SUP004,S003,P008,2026-03-23,2026-03-25,2026-03-25,109,4.28
PO0123,SUP004,S009,P016,2026-04-05,2026-04-12,2026-04-12,65,25.0
PO0124,SUP003,S010,P019,2026-03-05,2026-03-09,2026-03-09,55,74.44
PO0125,SUP005,S008,P052,2026-02-23,2026-02-28,2026-02-28,41,7.08
PO0126,SUP009,S001,P037,2026-03-16,2026-03-20,2026-03-20,88,10.42
PO0127,SUP010,S001,P040,2026-02-15,2026-02-18,2026-02-18,97,2.36
PO0128,SUP001,S006,P001,2026-03-06,2026-03-12,2026-03-12,120,1.62
PO0129,SUP002,S003,P025,2026-03-25,2026-03-28,2026-03-28,97,2.92
PO0130,SUP005,S005,P030,2026-04-11,2026-04-18,2026-04-18,55,3.97
PO0131,SUP007,S007,P054,2026-03-02,2026-03-08,2026-03-08,78,2.21
PO0132,SUP003,S003,P033,2026-03-31,2026-04-04,2026-04-04,79,18.6
PO0133,SUP010,S002,P040,2026-01-06,2026-01-08,2026-01-10,25,2.14
PO0134,SUP006,S008,P043,2026-03-28,2026-04-02,2026-04-02,34,12.34
PO0135,SUP005,S002,P052,2026-04-23,2026-04-26,2026-04-27,54,7.94
PO0136,SUP001,S001,P027,2026-03-20,2026-03-24,2026-03-24,113,7.26
PO0137,SUP001,S010,P029,2026-03-22,2026-03-24,2026-03-27,46,106.23
PO0138,SUP001,S003,P029,2026-03-23,2026-03-29,2026-03-29,30,113.53
PO0139,SUP001,S004,P029,2026-01-26,2026-02-02,2026-02-02,109,127.44
PO0140,SUP005,S002,P051,2026-03-16,2026-03-18,2026-03-18,90,2.64
PO0141,SUP001,S001,P003,2026-02-16,2026-02-21,2026-02-21,115,1.37
PO0142,SUP002,S004,P012,2026-04-17,2026-04-20,2026-04-20,65,0.99
PO0143,SUP005,S002,P023,2026-02-26,2026-03-03,2026-03-03,116,28.83
PO0144,SUP007,S009,P006,2026-02-08,2026-02-10,2026-02-10,34,0.62
PO0145,SUP009,S001,P035,2026-01-29,2026-02-02,2026-02-05,37,2.07
PO0146,SUP005,S003,P023,2026-02-06,2026-02-08,2026-02-08,35,39.72
PO0147,SUP003,S007,P060,2026-03-21,2026-03-23,2026-03-23,119,93.72
PO0148,SUP003,S011,P031,2026-01-04,2026-01-06,2026-01-06,38,34.86
PO0149,SUP010,S003,P057,2026-01-27,2026-02-02,2026-02-04,47,44.92
PO0150,SUP006,S004,P043,2026-03-05,2026-03-07,2026-03-09,77,12.02
PO0151,SUP003,S006,P045,2026-01-10,2026-01-15,2026-01-15,83,9.84
PO0152,SUP010,S003,P057,2026-02-04,2026-02-11,2026-02-11,9,38.35
PO0153,SUP004,S007,P015,2026-03-03,2026-03-07,2026-03-08,117,13.19
PO0154,SUP001,S001,P002,2026-04-10,2026-04-13,2026-04-13,115,5.0
PO0155,SUP006,S009,P044,2026-03-03,2026-03-05,2026-03-05,53,56.93
PO0156,SUP001,S009,P028,2026-01-18,2026-01-20,2026-01-20,119,8.32
PO0157,SUP010,S006,P058,2026-01-25,2026-01-29,2026-01-29,12,10.21
PO0158,SUP007,S004,P006,2026-02-22,2026-03-01,2026-03-02,108,0.84
PO0159,SUP009,S001,P037,2026-04-22,2026-04-29,2026-04-29,12,7.48
PO0160,SUP005,S003,P009,2026-02-06,2026-02-08,2026-02-08,82,2.71
PO0161,SUP004,S003,P016,2026-03-19,2026-03-24,2026-03-24,20,26.78
PO0162,SUP002,S009,P005,2026-01-27,2026-02-01,2026-02-02,109,1.7
PO0163,SUP010,S008,P059,2026-04-02,2026-04-06,2026-04-11,104,3.83
PO0164,SUP010,S009,P056,2026-02-04,2026-02-08,2026-02-08,69,0.61
PO0165,SUP005,S012,P023,2026-03-21,2026-03-26,2026-03-26,31,40.54
PO0166,SUP007,S005,P054,2026-04-05,2026-04-11,2026-04-11,52,2.22
PO0167,SUP005,S001,P051,2026-01-31,2026-02-07,2026-02-07,102,3.09
PO0168,SUP004,S008,P008,2026-04-18,2026-04-20,2026-04-20,80,3.72
PO0169,SUP004,S001,P053,2026-02-05,2026-02-11,2026-02-11,7,7.21
PO0170,SUP002,S001,P025,2026-01-29,2026-02-01,2026-02-01,89,2.77
PO0171,SUP003,S001,P004,2026-03-11,2026-03-15,2026-03-20,82,8.43
PO0172,SUP005,S010,P022,2026-01-28,2026-01-30,2026-01-30,111,15.1
PO0173,SUP010,S012,P056,2026-04-05,2026-04-07,2026-04-09,75,0.69
PO0174,SUP003,S009,P047,2026-03-01,2026-03-06,2026-03-06,77,31.9
PO0175,SUP008,S007,P017,2026-03-01,2026-03-08,2026-03-16,35,0.38
PO0176,SUP001,S011,P001,2026-02-05,2026-02-07,2026-02-15,103,1.53
PO0177,SUP005,S001,P022,2026-03-20,2026-03-24,2026-03-24,89,12.96
PO0178,SUP008,S002,P042,2026-02-09,2026-02-15,2026-02-15,112,2.12
PO0179,SUP002,S008,P012,2026-01-03,2026-01-08,2026-01-08,9,1.17
PO0180,SUP003,S007,P031,2026-01-08,2026-01-14,2026-01-19,40,45.89
PO0181,SUP009,S002,P036,2026-02-26,2026-03-01,2026-03-01,105,65.55
PO0182,SUP010,S003,P056,2026-01-30,2026-02-06,2026-02-06,116,0.75
PO0183,SUP003,S002,P004,2026-03-25,2026-03-27,2026-03-27,69,8.75
PO0184,SUP004,S001,P038,2026-03-12,2026-03-19,2026-03-19,96,15.08
PO0185,SUP008,S011,P017,2026-04-19,2026-04-23,2026-04-23,10,0.47
PO0186,SUP005,S002,P023,2026-03-06,2026-03-11,2026-03-11,14,31.14
PO0187,SUP004,S011,P021,2026-02-23,2026-02-25,2026-02-25,117,5.34
PO0188,SUP001,S010,P002,2026-04-11,2026-04-15,2026-04-15,57,6.08
PO0189,SUP002,S005,P024,2026-03-21,2026-03-23,2026-03-23,10,1.24
PO0190,SUP006,S002,P010,2026-03-19,2026-03-22,2026-03-24,70,46.93
PO0191,SUP001,S004,P048,2026-02-18,2026-02-24,2026-02-24,97,1.08
PO0192,SUP001,S002,P049,2026-01-29,2026-02-04,2026-02-04,78,5.84
PO0193,SUP003,S009,P047,2026-04-04,2026-04-06,2026-04-08,72,32.24
PO0194,SUP002,S011,P039,2026-03-09,2026-03-15,2026-03-15,39,0.42
PO0195,SUP009,S004,P037,2026-02-12,2026-02-15,2026-02-16,51,8.03
PO0196,SUP004,S012,P021,2026-01-31,2026-02-05,2026-02-06,117,5.64
PO0197,SUP007,S009,P006,2026-03-06,2026-03-08,2026-03-11,88,0.75
PO0198,SUP004,S007,P015,2026-01-30,2026-02-05,2026-02-07,21,12.99
PO0199,SUP004,S011,P016,2026-03-16,2026-03-23,2026-03-23,38,28.18
PO0200,SUP005,S002,P022,2026-01-11,2026-01-16,2026-01-16,23,14.84
PO0201,SUP004,S003,P041,2026-04-23,2026-04-28,2026-04-28,20,159.63
PO0202,SUP001,S012,P049,2026-01-13,2026-01-16,2026-01-18,111,5.4
PO0203,SUP003,S002,P045,2026-01-17,2026-01-23,2026-01-25,54,9.76
PO0204,SUP005,S007,P023,2026-03-31,2026-04-06,2026-04-06,42,29.5
PO0205,SUP010,S010,P058,2026-03-19,2026-03-25,2026-03-25,97,9.33
PO0206,SUP001,S008,P048,2026-02-22,2026-03-01,2026-03-01,111,1.23
PO0207,SUP001,S012,P049,2026-01-18,2026-01-25,2026-01-25,103,5.75
PO0208,SUP004,S003,P053,2026-01-01,2026-01-07,2026-01-07,91,6.68
PO0209,SUP002,S008,P025,2026-01-23,2026-01-29,2026-01-30,40,3.36
PO0210,SUP004,S005,P007,2026-03-05,2026-03-09,2026-03-09,71,59.1
PO0211,SUP004,S005,P038,2026-02-11,2026-02-16,2026-02-16,27,14.89
PO0212,SUP001,S007,P003,2026-03-08,2026-03-12,2026-03-12,83,1.53
PO0213,SUP005,S003,P023,2026-01-16,2026-01-20,2026-01-20,61,30.95
PO0214,SUP002,S005,P011,2026-03-19,2026-03-21,2026-03-24,90,0.98
PO0215,SUP004,S009,P007,2026-04-18,2026-04-24,2026-04-25,8,53.01
PO0216,SUP001,S001,P003,2026-03-04,2026-03-06,2026-03-06,41,1.94
PO0217,SUP009,S012,P037,2026-02-26,2026-03-04,2026-03-04,63,8.26
PO0218,SUP004,S008,P008,2026-02-25,2026-03-02,2026-03-02,115,3.33
PO0219,SUP008,S006,P018,2026-04-13,2026-04-15,2026-04-16,33,6.22
PO0220,SUP004,S009,P021,2026-02-12,2026-02-16,2026-02-16,99,5.88
PO0221,SUP001,S012,P050,2026-03-30,2026-04-03,2026-04-06,9,21.61
PO0222,SUP003,S004,P060,2026-04-18,2026-04-24,2026-04-24,117,116.6
PO0223,SUP004,S004,P041,2026-01-18,2026-01-24,2026-01-24,33,176.44
PO0224,SUP008,S003,P017,2026-03-04,2026-03-07,2026-03-08,41,0.38
PO0225,SUP004,S009,P041,2026-04-20,2026-04-27,2026-04-28,5,160.67
PO0226,SUP008,S012,P032,2026-01-23,2026-01-25,2026-01-25,38,59.59
PO0227,SUP004,S011,P041,2026-02-14,2026-02-19,2026-02-19,28,189.94
PO0228,SUP007,S005,P054,2026-03-27,2026-04-01,2026-04-01,85,1.95
PO0229,SUP005,S005,P023,2026-01-13,2026-01-16,2026-01-16,117,40.32
PO0230,SUP001,S007,P049,2026-02-27,2026-03-03,2026-03-03,59,4.7
PO0231,SUP005,S011,P030,2026-01-15,2026-01-19,2026-01-19,95,4.09
PO0232,SUP010,S008,P057,2026-03-18,2026-03-23,2026-03-23,8,35.19
PO0233,SUP003,S007,P033,2026-01-08,2026-01-14,2026-01-15,38,21.19
PO0234,SUP001,S008,P027,2026-02-24,2026-03-01,2026-03-01,11,5.99
PO0235,SUP003,S006,P047,2026-03-23,2026-03-25,2026-03-25,57,25.59
PO0236,SUP010,S009,P057,2026-01-27,2026-02-03,2026-02-03,83,40.1
PO0237,SUP005,S012,P009,2026-01-03,2026-01-08,2026-01-08,95,2.38
PO0238,SUP005,S011,P023,2026-01-07,2026-01-13,2026-01-13,73,30.6
PO0239,SUP002,S012,P011,2026-01-30,2026-02-03,2026-02-05,52,1.01
PO0240,SUP004,S001,P014,2026-01-05,2026-01-07,2026-01-08,72,3.66
PO0241,SUP005,S001,P026,2026-01-21,2026-01-25,2026-01-25,34,10.42
PO0242,SUP003,S001,P045,2026-02-04,2026-02-11,2026-02-11,105,7.99
PO0243,SUP005,S012,P026,2026-04-23,2026-04-27,2026-04-29,14,8.21
PO0244,SUP003,S001,P047,2026-01-02,2026-01-09,2026-01-11,82,33.63
PO0245,SUP004,S004,P007,2026-04-17,2026-04-23,2026-04-25,105,47.4
PO0246,SUP003,S005,P033,2026-02-05,2026-02-10,2026-02-10,38,23.52
PO0247,SUP009,S007,P037,2026-02-07,2026-02-12,2026-02-12,57,9.22
PO0248,SUP003,S012,P031,2026-03-10,2026-03-16,2026-03-16,7,47.41
PO0249,SUP003,S006,P047,2026-04-08,2026-04-14,2026-04-15,62,25.62
PO0250,SUP001,S004,P002,2026-02-27,2026-03-03,2026-03-03,18,5.55
PO_BAD1,SUP404,S001,P001,2026-04-01,2026-04-05,2026-04-07,50,1.5
