SaleId,StoreId,ProductId,CustomerId,SaleDate,Quantity,UnitPriceGold
SA0110,S005,P038,C015,2026-02-15,3,20.7
SA0111,S001,P024,C074,2026-01-10,3,2.73
SA0112,S010,P033,C099,2026-03-01,3,39.75
SA0113,S001,P029,C147,2026-03-25,1,228.0
SA0114,S001,P029,C027,2026-04-14,6,209.32
SA0115,S009,P042,C045,2026-01-06,1,4.01
SA0116,S009,P040,C041,2026-02-16,2,3.9
SA0117,S006,P044,C014,2026-04-12,3,87.45
SA0118,S009,P044,C099,2026-02-06,1,102.92
SA0119,S010,P056,C039,2026-02-12,1,1.33
SA0120,S005,P042,C101,2026-01-17,3,4.68
SA0121,S007,P042,C085,2026-04-15,1,4.36
SA0122,S011,P059,C135,2026-01-12,3,6.4
SA0123,S006,P020,C047,2026-01-28,2,5.7
SA0124,S003,P010,C020,2026-02-07,5,65.84
SA0125,S012,P057,C135,2026-01-05,3,75.39
SA0126,S010,P025,C040,2026-01-21,1,5.3
SA0127,S003,P047,C113,2026-01-06,2,53.28
SA0128,S008,P040,C073,2026-04-07,4,4.13
SA0129,S005,P052,C121,2026-04-26,5,12.06
SA0130,S008,P030,C073,2026-04-10,2,8.47
SA0131,S004,P052,C036,2026-04-22,1,13.18
SA0132,S009,P060,C027,2026-04-02,5,216.34
SA0133,S003,P018,C116,2026-04-26,3,11.04
SA0134,S004,P053,C116,2026-04-24,2,9.34
SA0135,S009,P024,C061,2026-02-19,10,3.88
SA0136,S012,P042,C086,2026-04-12,1,3.48
SA0137,S008,P045,C036,2026-04-08,4,19.34
SA0138,S005,P014,C039,2026-03-12,8,7.88
SA0139,S005,P016,C078,2026-01-16,1,42.96
SA0140,S008,P005,C029,2026-04-18,6,4.67
SA0141,S004,P046,C037,2026-02-07,2,56.63
SA0142,S007,P012,C022,2026-03-09,8,1.49
SA0143,S009,P051,C130,2026-03-12,1,7.9
SA0144,S006,P017,C005,2026-02-15,4,0.75
SA0145,S011,P007,C149,2026-04-05,4,78.66
SA0146,S006,P053,C045,2026-04-17,4,10.9
SA0147,S011,P012,C035,2026-01-09,4,2.36
SA0148,S004,P057,C011,2026-02-10,6,67.53
SA0149,S009,P031,C065,2026-01-05,4,62.37
SA0150,S001,P056,C085,2026-02-04,1,1.21
SA0151,S012,P029,C099,2026-02-13,8,220.23
SA0152,S009,P018,C022,2026-04-04,2,9.75
SA0153,S003,P035,C076,2026-02-11,1,3.57
SA0154,S008,P039,C110,2026-01-22,4,1.36
SA0155,S006,P040,C112,2026-02-05,3,4.6
SA0156,S011,P041,C104,2026-02-16,3,312.12
SA0157,S001,P010,C113,2026-01-05,1,69.14
SA0158,S006,P025,C146,2026-01-05,3,5.28
SA0159,S006,P029,C020,2026-03-15,1,211.0
SA0160,S005,P016,C030,2026-01-04,4,44.09
SA0161,S009,P008,C068,2026-04-10,1,6.71
SA0162,S005,P045,C126,2026-01-26,1,16.38
SA0163,S012,P029,C023,2026-04-14,4,245.17
SA0164,S006,P046,C017,2026-03-12,3,61.52
SA0165,S012,P046,C045,2026-04-12,2,49.72
SA0166,S003,P016,C127,2026-01-04,2,45.13
SA0167,S009,P009,C023,2026-01-09,2,5.18
SA0168,S009,P027,C105,2026-04-16,3,10.15
SA0169,S002,P029,C120,2026-03-29,3,193.96
SA0170,S009,P041,C047,2026-04-09,8,282.45
SA0171,S001,P054,C032,2026-03-08,1,3.18
SA0172,S012,P015,C089,2026-03-08,6,21.6
SA0173,S011,P036,C071,2026-01-17,3,130.67
SA0174,S011,P011,C149,2026-01-20,1,1.97
SA0175,S006,P054,C145,2026-01-06,5,5.46
SA0176,S010,P017,C054,2026-04-09,3,1.28
SA0177,S009,P019,C078,2026-03-03,1,150.08
SA0178,S008,P005,C016,2026-01-21,2,3.13
SA0179,S010,P010,C081,2026-04-21,4,81.33
SA0180,S007,P009,C095,2026-03-07,3,4.2
SA0181,S005,P029,C064,2026-01-19,1,205.52
SA0182,S010,P027,C064,2026-04-21,6,12.72
SA0183,S012,P021,C049,2026-04-08,1,11.88
SA0184,S005,P032,C006,2026-01-12,8,99.93
SA0185,S004,P038,C091,2026-01-07,1,22.01
SA0186,S011,P044,C121,2026-02-06,3,102.79
SA0187,S005,P047,C094,2026-04-08,2,42.98
SA0188,S009,P013,C093,2026-03-12,2,5.56
SA0189,S009,P018,C031,2026-01-17,8,9.63
SA0190,S006,P036,C094,2026-04-07,1,130.18
SA0191,S001,P003,C010,2026-01-18,4,3.17
SA0192,S003,P039,C132,2026-01-18,2,0.87
SA0193,S010,P048,C077,2026-03-17,2,2.44
SA0194,S012,P037,C077,2026-03-02,5,15.08
SA0195,S007,P038,C079,2026-04-12,6,24.71
SA0196,S010,P031,C068,2026-03-25,4,75.5
SA0197,S012,P004,C150,2026-03-03,1,13.95
SA0198,S007,P010,C063,2026-01-05,3,80.51
SA0199,S008,P021,C108,2026-01-20,2,9.26
SA0200,S010,P059,C121,2026-04-22,5,7.05
SA0201,S009,P014,C144,2026-02-11,10,7.56
SA0202,S003,P030,C137,2026-02-13,3,8.88
SA0203,S011,P042,C068,2026-03-20,2,4.7
SA0204,S005,P015,C077,2026-04-09,2,17.58
SA0205,S006,P031,C090,2026-03-13,6,75.93
SA0206,S002,P037,C140,2026-02-18,6,15.21
SA0207,S003,P019,C011,2026-02-06,8,117.89
SA0208,S011,P017,C123,2026-01-28,1,0.8
SA0209,S012,P018,C036,2026-01-14,3,10.26
SA0210,S011,P058,C136,2026-01-29,3,17.06
SA0211,S012,P031,C026,2026-03-29,4,58.2
SA0212,S003,P027,C122,2026-03-03,3,12.51
SA0213,S005,P042,C016,2026-04-27,4,4.3
SA0214,S012,P047,C010,2026-04-27,6,49.06
SA0215,S001,P054,C102,2026-04-11,3,4.07
SA0216,S005,P057,C010,2026-01-02,2,69.44
SA0217,S006,P019,C117,2026-03-24,3,136.23
SA0218,S009,P030,C070,2026-01-25,5,7.94
SA0219,S011,P017,C048,2026-01-02,4,0.86
SA0220,S004,P012,C104,2026-04-16,2,1.64
SA0221,S002,P012,C036,2026-03-03,2,1.59
SA0222,S004,P029,C069,2026-02-12,2,338.41
SA0223,S012,P016,C016,2026-03-27,1,41.34
SA0224,S009,P060,C080,2026-03-30,1,220.42
SA0225,S010,P015,C057,2026-01-18,2,19.14
SA0226,S006,P027,C141,2026-04-27,2,11.69
SA0227,S004,P049,C064,2026-03-29,4,10.89
SA0228,S008,P034,C093,2026-01-10,6,6.2
SA0229,S009,P013,C147,2026-03-10,1,5.45
SA0230,S002,P044,C053,2026-04-02,3,80.16
SA0231,S001,P030,C034,2026-03-07,2,8.57
SA0232,S011,P052,C079,2026-04-03,1,17.25
SA0233,S002,P003,C109,2026-02-14,4,2.93
SA0234,S002,P060,C121,2026-01-05,2,174.12
SA0235,S011,P047,C108,2026-02-17,10,48.48
SA0236,S007,P025,C021,2026-03-29,8,5.59
SA0237,S006,P008,C046,2026-03-10,2,6.0
SA0238,S001,P049,C006,2026-02-08,2,10.4
SA0239,S007,P053,C059,2026-02-01,2,9.79
SA0240,S012,P049,C029,2026-01-05,5,9.46
SA0241,S001,P016,C053,2026-01-09,1,37.44
SA0242,S012,P056,C013,2026-02-01,4,1.22
SA0243,S004,P049,C015,2026-01-18,3,9.05
SA0244,S012,P037,C082,2026-03-15,3,16.63
SA0245,S005,P057,C037,2026-03-26,3,65.32
SA0246,S009,P038,C045,2026-03-22,4,31.24
SA0247,S011,P043,C098,2026-04-11,3,19.26
SA0248,S005,P025,C048,2026-04-07,3,4.57
SA0249,S012,P010,C119,2026-04-28,1,73.46
SA0250,S009,P009,C100,2026-02-01,1,4.22
SA0251,S008,P055,C095,2026-01-12,3,9.06
SA0252,S007,P044,C011,2026-04-22,1,101.52
SA0253,S011,P036,C056,2026-03-03,1,142.61
SA0254,S001,P014,C049,2026-04-05,1,8.84
SA0255,S004,P045,C053,2026-02-20,6,14.95
SA0256,S007,P030,C137,2026-03-25,2,7.75
SA0257,S008,P030,C026,2026-04-13,10,8.32
SA0258,S004,P024,C081,2026-02-22,1,2.64
SA0259,S001,P017,C142,2026-04-30,3,0.84
SA0260,S004,P022,C059,2026-02-18,3,23.13
SA0261,S011,P022,C066,2026-04-08,5,29.01
SA0262,S008,P030,C044,2026-04-04,5,7.5
SA0263,S008,P012,C139,2026-03-24,8,1.75
SA0264,S002,P053,C013,2026-04-08,1,9.73
SA0265,S002,P046,C039,2026-01-02,1,53.82
SA0266,S011,P043,C124,2026-03-26,2,15.22
SA0267,S001,P002,C136,2026-04-03,2,14.66
SA0268,S011,P028,C046,2026-01-14,6,14.02
SA0269,S010,P034,C065,2026-04-15,2,7.76
SA0270,S007,P030,C145,2026-02-01,10,7.65
SA0271,S002,P042,C009,2026-01-12,2,3.93
SA0272,S011,P001,C044,2026-01-11,3,2.57
SA0273,S010,P055,C025,2026-04-25,3,6.98
SA0274,S012,P057,C146,2026-03-02,2,76.43
SA0275,S005,P058,C140,2026-03-14,3,17.88
SA0276,S001,P014,C037,2026-04-07,5,8.4
SA0277,S005,P011,C145,2026-01-31,3,2.1
SA0278,S009,P022,C099,2026-04-07,4,27.57
SA0279,S002,P033,C089,2026-01-07,1,31.64
SA0280,S010,P050,C102,2026-04-10,2,40.54
SA0281,S008,P032,C059,2026-02-15,3,95.73
SA0282,S010,P043,C098,2026-01-11,4,16.91
SA0283,S002,P006,C069,2026-01-20,2,1.43
SA0284,S007,P021,C093,2026-01-14,1,11.71
SA0285,S005,P007,C034,2026-01-12,1,87.77
SA0286,S007,P007,C007,2026-01-12,2,77.49
SA0287,S006,P056,C099,2026-01-02,2,1.21
SA0288,S009,P058,C063,2026-03-15,3,21.15
SA0289,S005,P020,C069,2026-03-05,1,4.68
SA0290,S005,P031,C020,2026-02-16,1,63.61
SA0291,S010,P040,C051,2026-02-28,1,3.93
SA0292,S006,P054,C098,2026-04-13,5,3.5
SA0293,S011,P039,C035,2026-02-08,2,0.96
SA0294,S006,P012,C102,2026-02-10,2,1.84
SA0295,S010,P051,C063,2026-02-11,2,6.08
SA0296,S002,P060,C145,2026-01-26,3,197.12
SA0297,S009,P002,C119,2026-04-01,1,10.07
SA0298,S002,P053,C105,2026-03-28,3,11.5
SA0299,S011,P010,C109,2026-04-12,2,74.35
SA0300,S010,P026,C137,2026-03-06,6,19.4
SA0301,S001,P051,C093,2026-03-31,6,5.58
SA0302,S002,P007,C064,2026-03-26,4,79.61
SA0303,S010,P042,C103,2026-04-07,2,4.49
SA0304,S002,P017,C057,2026-03-07,4,0.8
SA0305,S004,P029,C096,2026-02-20,2,233.32
SA0306,S003,P023,C007,2026-03-03,1,59.24
SA0307,S002,P054,C037,2026-02-14,2,3.52
SA0308,S008,P023,C122,2026-01-13,2,64.78
SA0309,S005,P003,C030,2026-01-03,5,3.03
SA0310,S003,P060,C063,2026-03-08,1,172.87
SA0311,S008,P015,C104,2026-03-22,1,20.31
SA0312,S001,P048,C051,2026-02-27,3,2.13
SA0313,S004,P018,C017,2026-03-15,1,11.18
SA0314,S006,P013,C118,2026-01-15,1,6.45
SA0315,S011,P021,C100,2026-03-20,2,8.96
SA0316,S008,P040,C045,2026-04-15,4,4.61
SA0317,S010,P006,C035,2026-02-10,1,1.23
SA0318,S012,P010,C131,2026-02-19,2,66.73
SA0319,S003,P032,C138,2026-03-30,6,113.66
SA0320,S003,P032,C074,2026-01-18,1,110.8
SA0321,S006,P001,C125,2026-01-18,1,2.53
SA0322,S011,P032,C105,2026-03-29,2,106.54
SA0323,S003,P006,C145,2026-01-04,5,1.8
SA0324,S005,P011,C118,2026-03-14,4,2.05
SA0325,S002,P037,C030,2026-02-04,4,17.4
SA0326,S001,P049,C113,2026-03-11,1,9.48
SA0327,S011,P049,C064,2026-02-08,6,8.24
SA0328,S002,P029,C031,2026-04-10,5,199.79
SA0329,S012,P023,C110,2026-01-22,3,66.52
SA0330,S001,P037,C090,2026-03-10,2,15.95
SA0331,S012,P019,C075,2026-03-15,2,152.32
SA0332,S011,P053,C025,2026-01-18,8,12.04
SA0333,S005,P056,C033,2026-03-31,5,1.16
SA0334,S004,P049,C101,2026-03-04,1,10.13
SA0335,S007,P029,C020,2026-03-23,5,239.7
SA0336,S012,P018,C095,2026-02-28,8,15.77
SA0337,S012,P006,C118,2026-03-23,4,1.25
SA0338,S009,P026,C056,2026-02-24,5,17.3
SA0339,S005,P022,C141,2026-03-15,1,28.08
SA0340,S011,P049,C013,2026-01-06,1,10.61
SA0341,S002,P060,C041,2026-02-26,2,225.19
SA0342,S012,P059,C034,2026-04-23,3,5.84
SA0343,S005,P006,C093,2026-02-02,1,1.38
SA0344,S001,P026,C079,2026-04-03,4,15.83
SA0345,S012,P007,C001,2026-01-28,2,78.64
SA0346,S011,P029,C003,2026-01-02,4,243.14
SA0347,S007,P045,C034,2026-03-03,1,14.14
SA0348,S002,P007,C081,2026-02-17,6,78.76
SA0349,S003,P042,C037,2026-01-09,3,3.44
SA0350,S008,P023,C055,2026-03-22,4,69.18
SA0351,S008,P056,C056,2026-01-12,6,1.11
SA0352,S012,P025,C090,2026-02-24,2,4.41
SA0353,S002,P016,C142,2026-03-18,3,45.64
SA0354,S012,P002,C078,2026-01-27,3,9.22
SA0355,S005,P042,C014,2026-04-11,6,4.7
SA0356,S002,P016,C128,2026-03-23,3,44.5
SA0357,S006,P060,C082,2026-01-17,2,215.57
SA0358,S009,P044,C045,2026-04-08,2,106.98
SA0359,S010,P005,C004,2026-02-03,1,3.58
SA0360,S007,P033,C074,2026-03-22,4,37.65
SA0361,S007,P006,C138,2026-03-10,3,1.22
SA0362,S009,P059,C053,2026-04-14,1,6.19
SA0363,S011,P044,C017,2026-02-09,4,99.28
SA0364,S001,P016,C023,2026-04-29,2,43.43
SA0365,S005,P043,C045,2026-01-16,1,26.71
SA0366,S006,P034,C133,2026-04-11,5,6.53
SA0367,S012,P050,C069,2026-04-04,6,61.9
SA0368,S005,P034,C017,2026-02-03,4,7.26
SA0369,S008,P033,C093,2026-01-08,3,35.4
SA0370,S005,P050,C027,2026-04-25,3,41.65
SA0371,S009,P001,C012,2026-04-20,5,2.41
SA0372,S007,P059,C039,2026-01-23,6,7.32
SA0373,S012,P048,C108,2026-01-29,2,2.15
SA0374,S005,P053,C020,2026-03-15,2,11.03
SA0375,S003,P015,C133,2026-01-06,8,16.71
SA0376,S005,P050,C080,2026-02-11,1,38.31
SA0377,S005,P037,C078,2026-04-05,3,15.57
SA0378,S008,P050,C051,2026-04-04,6,42.13
SA0379,S001,P060,C105,2026-01-04,1,184.59
SA0380,S001,P022,C001,2026-04-08,3,28.05
SA0381,S002,P014,C136,2026-01-31,2,8.75
SA0382,S003,P046,C072,2026-01-12,1,49.85
SA0383,S007,P045,C096,2026-02-28,8,12.72
SA0384,S003,P041,C101,2026-01-10,3,247.82
SA0385,S003,P016,C075,2026-02-03,5,50.18
SA0386,S012,P021,C082,2026-02-27,2,8.83
SA0387,S010,P007,C040,2026-01-14,1,88.27
SA0388,S009,P023,C054,2026-02-27,2,56.27
SA0389,S003,P052,C078,2026-04-16,4,13.02
SA0390,S006,P010,C024,2026-04-02,1,72.07
SA0391,S011,P020,C067,2026-04-15,10,4.45
SA0392,S008,P036,C141,2026-02-01,1,109.76
SA0393,S002,P001,C016,2026-04-17,4,2.39
SA0394,S007,P024,C022,2026-03-16,3,2.68
SA0395,S002,P013,C114,2026-04-14,1,6.53
SA0396,S006,P008,C011,2026-03-01,1,7.76
SA0397,S012,P026,C128,2026-01-04,2,16.91
SA0398,S003,P018,C072,2026-02-27,6,8.47
SA0399,S004,P042,C076,2026-03-05,2,4.16
SA0400,S005,P025,C036,2026-02-23,1,5.61
SA0401,S011,P052,C140,2026-04-12,1,12.12
SA0402,S008,P035,C125,2026-02-14,6,3.78
SA0403,S003,P002,C082,2026-03-18,1,10.36
SA0404,S001,P052,C121,2026-03-09,2,12.94
SA0405,S003,P007,C064,2026-03-26,1,90.22
SA0406,S012,P004,C057,2026-03-15,5,14.68
SA0407,S003,P012,C061,2026-03-17,2,1.87
SA0408,S010,P002,C091,2026-03-14,3,9.38
SA0409,S008,P035,C080,2026-01-23,2,3.28
SA0410,S004,P002,C135,2026-03-03,1,10.43
SA0411,S003,P022,C046,2026-04-28,5,28.2
SA0412,S003,P038,C037,2026-04-10,1,22.24
SA0413,S002,P024,C102,2026-03-17,1,2.21
SA0414,S003,P047,C112,2026-04-12,3,50.19
SA0415,S012,P036,C092,2026-01-29,4,138.83
SA0416,S012,P045,C076,2026-01-17,1,12.33
SA0417,S010,P026,C146,2026-01-05,1,16.31
SA0418,S010,P015,C145,2026-01-14,6,17.16
SA0419,S004,P023,C082,2026-01-22,3,70.03
SA0420,S011,P041,C086,2026-02-27,1,261.61
SA0421,S006,P017,C028,2026-04-03,1,0.76
SA0422,S003,P057,C106,2026-03-05,6,63.96
SA0423,S008,P051,C148,2026-03-25,4,5.02
SA0424,S001,P019,C006,2026-02-10,1,119.03
SA0425,S007,P011,C020,2026-03-12,8,2.18
SA0426,S010,P058,C124,2026-04-01,1,22.81
SA0427,S007,P011,C014,2026-01-13,2,2.18
SA0428,S009,P047,C139,2026-02-03,3,47.09
SA0429,S007,P037,C141,2026-04-18,2,20.78
SA0430,S011,P041,C123,2026-01-26,1,261.35
SA0431,S002,P031,C030,2026-02-09,4,68.65
SA0432,S005,P006,C140,2026-02-19,1,1.48
SA0433,S008,P003,C068,2026-02-26,2,2.63
SA0434,S001,P010,C025,2026-01-11,4,83.14
SA0435,S010,P015,C142,2026-01-08,5,21.43
SA0436,S009,P044,C122,2026-03-15,6,91.69
SA0437,S012,P003,C129,2026-03-15,6,3.17
SA0438,S010,P010,C031,2026-04-07,2,86.59
SA0439,S004,P052,C050,2026-01-17,1,10.88
SA0440,S004,P053,C038,2026-04-17,3,10.38
SA0441,S002,P006,C100,2026-03-13,2,1.24
SA0442,S008,P059,C004,2026-04-11,4,6.75
SA0443,S002,P027,C039,2026-01-19,3,11.86
SA0444,S002,P060,C028,2026-03-14,4,212.22
SA0445,S006,P057,C106,2026-02-03,2,66.89
SA0446,S001,P012,C071,2026-02-21,1,1.79
SA0447,S001,P026,C085,2026-03-30,1,18.7
SA0448,S006,P002,C087,2026-04-15,5,8.63
SA0449,S012,P044,C026,2026-04-22,1,86.43
SA0450,S006,P018,C107,2026-03-19,3,8.97
SA0451,S007,P048,C125,2026-04-08,3,2.11
SA0452,S003,P005,C080,2026-04-01,3,2.78
SA0453,S010,P002,C045,2026-01-25,6,8.3
SA0454,S001,P030,C013,2026-04-28,2,7.58
SA0455,S008,P033,C102,2026-03-23,6,36.68
SA0456,S008,P039,C115,2026-01-23,8,0.83
SA0457,S006,P011,C067,2026-04-06,5,2.47
SA0458,S010,P050,C055,2026-04-20,1,35.39
SA0459,S011,P027,C132,2026-01-03,5,13.3
SA0460,S008,P059,C034,2026-03-24,1,7.2
SA0461,S010,P052,C079,2026-04-02,8,13.18
SA0462,S007,P055,C090,2026-02-28,1,8.1
SA0463,S010,P026,C150,2026-01-14,1,20.13
SA0464,S006,P036,C073,2026-02-08,4,125.25
SA0465,S005,P041,C084,2026-04-21,2,303.35
SA0466,S011,P020,C049,2026-01-20,3,4.81
SA0467,S010,P026,C082,2026-03-29,1,14.66
SA0468,S005,P017,C108,2026-02-21,2,0.67
SA0469,S010,P053,C049,2026-02-13,4,10.03
SA0470,S008,P059,C092,2026-03-06,2,5.86
SA0471,S009,P012,C076,2026-01-13,2,1.87
SA0472,S009,P049,C047,2026-03-29,6,10.2
SA0473,S004,P048,C079,2026-02-23,4,2.08
SA0474,S005,P030,C031,2026-03-02,1,8.77
SA0475,S010,P005,C121,2026-04-24,1,2.76
SA0476,S009,P020,C106,2026-01-07,5,4.66
SA0477,S006,P027,C146,2026-04-25,6,11.39
SA0478,S012,P012,C021,2026-03-04,2,2.01
SA0479,S001,P001,C116,2026-02-05,1,2.86
SA0480,S003,P032,C023,2026-01-17,3,104.06
SA0481,S008,P025,C002,2026-01-05,3,5.36
SA0482,S006,P049,C136,2026-01-25,1,8.15
SA0483,S004,P045,C089,2026-02-09,1,14.15
SA0484,S003,P005,C012,2026-02-08,8,3.11
SA0485,S009,P022,C112,2026-04-24,4,22.21
SA0486,S008,P023,C049,2026-01-22,8,69.15
SA0487,S004,P015,C034,2026-01-28,4,19.99
SA0488,S006,P046,C010,2026-02-18,6,50.28
SA0489,S001,P039,C013,2026-03-26,1,1.12
SA0490,S008,P025,C032,2026-03-12,1,5.31
SA0491,S011,P041,C003,2026-02-08,2,251.44
SA0492,S010,P039,C036,2026-02-23,5,0.73
SA0493,S002,P019,C030,2026-04-11,1,123.18
SA0494,S005,P054,C134,2026-01-26,2,3.47
SA0495,S009,P032,C054,2026-03-30,6,153.77
SA0496,S002,P054,C147,2026-03-27,2,4.09
SA0497,S002,P047,C026,2026-04-26,1,46.01
SA0498,S005,P017,C119,2026-01-07,1,1.1
SA0499,S011,P021,C110,2026-04-05,1,11.4
SA0500,S001,P055,C036,2026-03-26,3,7.74
SA0501,S010,P018,C024,2026-02-17,5,8.95
SA0502,S008,P018,C099,2026-03-30,5,10.94
SA0503,S003,P008,C034,2026-03-31,4,7.89
SA0504,S002,P027,C124,2026-04-13,3,11.32
SA0505,S006,P040,C008,2026-04-21,4,4.66
SA0506,S003,P031,C125,2026-01-15,6,67.97
SA0507,S011,P021,C004,2026-04-01,5,10.32
SA0508,S012,P037,C058,2026-03-27,5,15.85
SA0509,S010,P007,C111,2026-03-26,4,88.73
SA0510,S011,P025,C039,2026-04-18,5,5.62
SA0511,S001,P042,C041,2026-03-06,5,4.56
SA0512,S002,P049,C126,2026-02-11,1,11.19
SA0513,S004,P036,C097,2026-02-21,5,108.82
SA0514,S010,P029,C023,2026-04-20,3,207.37
SA0515,S012,P042,C005,2026-01-14,2,3.48
