InventoryId,StoreId,ProductId,SnapshotDate,QuantityOnHand,ReorderThreshold
I00056,S002,P032,2026-02-01,75,5
I00057,S002,P008,2026-02-01,94,25
I00058,S002,P058,2026-02-01,13,5
I00059,S002,P039,2026-02-01,91,5
I00060,S002,P030,2026-02-01,72,40
I00061,S002,P021,2026-02-01,7,10
I00062,S002,P036,2026-02-01,110,30
I00063,S002,P007,2026-02-01,100,30
I00064,S002,P029,2026-02-01,81,30
I00065,S002,P048,2026-02-01,97,20
I00066,S002,P020,2026-02-01,97,20
I00067,S002,P026,2026-02-01,139,10
I00068,S002,P003,2026-02-01,44,20
I00069,S002,P033,2026-02-01,35,10
I00070,S002,P004,2026-02-01,98,40
I00071,S002,P052,2026-02-01,92,40
I00072,S002,P027,2026-02-01,106,10
I00073,S002,P040,2026-02-01,73,40
I00074,S002,P025,2026-02-01,32,10
I00075,S002,P013,2026-02-01,2,5
I00076,S002,P011,2026-02-01,4,10
I00077,S003,P047,2026-02-01,123,30
I00078,S003,P057,2026-02-01,94,5
I00079,S003,P032,2026-02-01,123,30
I00080,S003,P043,2026-02-01,20,10
I00081,S003,P028,2026-02-01,134,40
I00082,S003,P009,2026-02-01,71,20
I00083,S003,P006,2026-02-01,132,5
I00084,S003,P055,2026-02-01,133,25
I00085,S003,P042,2026-02-01,22,10
I00086,S003,P027,2026-02-01,120,30
I00087,S003,P030,2026-02-01,19,30
I00088,S003,P045,2026-02-01,138,40
I00089,S003,P039,2026-02-01,79,25
I00090,S003,P056,2026-02-01,13,15
I00091,S003,P040,2026-02-01,136,40
I00092,S003,P012,2026-02-01,2,20
I00093,S003,P050,2026-02-01,116,25
I00094,S003,P033,2026-02-01,120,25
I00095,S003,P060,2026-02-01,84,20
I00096,S003,P036,2026-02-01,90,40
I00097,S003,P029,2026-02-01,75,15
I00098,S003,P025,2026-02-01,42,5
I00099,S003,P023,2026-02-01,77,30
I00100,S003,P015,2026-02-01,66,5
I00101,S003,P049,2026-02-01,121,25
I00102,S003,P052,2026-02-01,43,25
I00103,S003,P001,2026-02-01,13,30
I00104,S003,P058,2026-02-01,74,40
I00105,S003,P016,2026-02-01,6,15
I00106,S003,P038,2026-02-01,124,5
I00107,S003,P017,2026-02-01,32,25
I00108,S003,P053,2026-02-01,19,40
I00109,S003,P014,2026-02-01,71,15
I00110,S003,P018,2026-02-01,33,25
I00111,S003,P019,2026-02-01,71,15
I00112,S003,P041,2026-02-01,65,5
I00113,S003,P002,2026-02-01,28,25
I00114,S003,P024,2026-02-01,44,25
I00115,S004,P048,2026-02-01,121,15
I00116,S004,P010,2026-02-01,121,30
I00117,S004,P043,2026-02-01,136,10
I00118,S004,P029,2026-02-01,97,30
I00119,S004,P024,2026-02-01,99,20
I00120,S004,P052,2026-02-01,67,10
I00121,S004,P012,2026-02-01,135,40
I00122,S004,P017,2026-02-01,111,5
I00123,S004,P051,2026-02-01,73,40
I00124,S004,P045,2026-02-01,114,20
I00125,S004,P016,2026-02-01,80,25
I00126,S004,P032,2026-02-01,10,5
I00127,S004,P054,2026-02-01,136,30
I00128,S004,P034,2026-02-01,90,40
I00129,S004,P003,2026-02-01,110,25
I00130,S004,P022,2026-02-01,69,15
I00131,S004,P006,2026-02-01,69,15
I00132,S004,P059,2026-02-01,25,15
I00133,S004,P039,2026-02-01,100,20
I00134,S004,P058,2026-02-01,61,30
I00135,S004,P049,2026-02-01,49,25
I00136,S004,P027,2026-02-01,86,30
I00137,S004,P025,2026-02-01,46,15
I00138,S004,P050,2026-02-01,140,5
I00139,S004,P057,2026-02-01,2,40
I00140,S004,P011,2026-02-01,17,5
I00141,S004,P014,2026-02-01,105,5
I00142,S004,P023,2026-02-01,134,5
I00143,S004,P004,2026-02-01,114,15
I00144,S004,P021,2026-02-01,56,30
I00145,S004,P009,2026-02-01,72,15
I00146,S004,P038,2026-02-01,49,5
I00147,S004,P042,2026-02-01,6,25
I00148,S004,P040,2026-02-01,23,5
I00149,S004,P002,2026-02-01,55,25
I00150,S004,P044,2026-02-01,31,30
I00151,S004,P015,2026-02-01,30,5
I00152,S004,P013,2026-02-01,33,20
I00153,S005,P043,2026-02-01,100,10
I00154,S005,P049,2026-02-01,125,5
I00155,S005,P058,2026-02-01,36,25
I00156,S005,P042,2026-02-01,110,10
I00157,S005,P037,2026-02-01,27,20
I00158,S005,P052,2026-02-01,66,5
I00159,S005,P012,2026-02-01,8,5
I00160,S005,P008,2026-02-01,18,25
I00161,S005,P045,2026-02-01,64,40
I00162,S005,P054,2026-02-01,114,5
I00163,S005,P017,2026-02-01,127,10
I00164,S005,P019,2026-02-01,0,5
I00165,S005,P030,2026-02-01,99,15
I00166,S005,P060,2026-02-01,38,30
I00167,S005,P005,2026-02-01,84,20
I00168,S005,P041,2026-02-01,0,25
I00169,S005,P048,2026-02-01,125,20
I00170,S005,P018,2026-02-01,111,20
I00171,S005,P028,2026-02-01,17,25
I00172,S005,P021,2026-02-01,57,5
I00173,S005,P050,2026-02-01,98,30
I00174,S005,P011,2026-02-01,123,5
I00175,S005,P046,2026-02-01,137,15
I00176,S005,P047,2026-02-01,85,30
I00177,S005,P004,2026-02-01,77,20
I00178,S005,P025,2026-02-01,14,30
I00179,S005,P035,2026-02-01,23,15
I00180,S005,P022,2026-02-01,136,40
I00181,S005,P036,2026-02-01,87,5
I00182,S005,P009,2026-02-01,117,40
I00183,S005,P027,2026-02-01,74,30
I00184,S005,P031,2026-02-01,51,10
I00185,S005,P006,2026-02-01,10,20
I00186,S005,P015,2026-02-01,48,15
I00187,S005,P003,2026-02-01,99,5
I00188,S005,P016,2026-02-01,91,20
I00189,S005,P007,2026-02-01,21,30
I00190,S005,P020,2026-02-01,112,30
I00191,S006,P013,2026-02-01,4,20
I00192,S006,P009,2026-02-01,11,10
I00193,S006,P003,2026-02-01,33,5
I00194,S006,P060,2026-02-01,44,30
I00195,S006,P002,2026-02-01,12,15
I00196,S006,P047,2026-02-01,24,20
I00197,S006,P038,2026-02-01,43,40
I00198,S006,P016,2026-02-01,16,40
I00199,S006,P032,2026-02-01,27,5
I00200,S006,P025,2026-02-01,127,25
I00201,S006,P005,2026-02-01,56,5
I00202,S006,P035,2026-02-01,51,20
I00203,S006,P042,2026-02-01,86,40
I00204,S006,P020,2026-02-01,102,15
I00205,S006,P052,2026-02-01,30,30
I00206,S006,P049,2026-02-01,139,10
I00207,S006,P029,2026-02-01,82,40
I00208,S006,P056,2026-02-01,54,40
I00209,S006,P058,2026-02-01,11,25
I00210,S006,P022,2026-02-01,44,15
I00211,S006,P004,2026-02-01,16,5
I00212,S006,P041,2026-02-01,70,10
I00213,S006,P048,2026-02-01,106,10
I00214,S006,P026,2026-02-01,94,25
I00215,S006,P008,2026-02-01,42,20
I00216,S006,P014,2026-02-01,62,25
I00217,S006,P034,2026-02-01,10,10
I00218,S006,P030,2026-02-01,25,40
I00219,S006,P010,2026-02-01,96,40
I00220,S006,P024,2026-02-01,40,5
I00221,S006,P019,2026-02-01,124,5
I00222,S006,P036,2026-02-01,1,5
I00223,S006,P054,2026-02-01,45,5
I00224,S006,P043,2026-02-01,72,20
I00225,S006,P031,2026-02-01,121,30
I00226,S006,P050,2026-02-01,32,10
I00227,S006,P053,2026-02-01,36,30
I00228,S006,P021,2026-02-01,69,25
I00229,S007,P029,2026-02-01,121,20
I00230,S007,P027,2026-02-01,45,10
I00231,S007,P016,2026-02-01,11,5
I00232,S007,P012,2026-02-01,93,15
I00233,S007,P040,2026-02-01,53,20
I00234,S007,P045,2026-02-01,64,15
I00235,S007,P003,2026-02-01,116,5
I00236,S007,P039,2026-02-01,26,30
I00237,S007,P057,2026-02-01,13,25
I00238,S007,P046,2026-02-01,45,10
I00239,S007,P032,2026-02-01,7,20
I00240,S007,P056,2026-02-01,131,5
I00241,S007,P006,2026-02-01,18,10
I00242,S007,P041,2026-02-01,113,25
I00243,S007,P020,2026-02-01,83,20
I00244,S007,P023,2026-02-01,50,30
I00245,S007,P059,2026-02-01,83,10
I00246,S007,P001,2026-02-01,28,15
I00247,S007,P036,2026-02-01,58,5
I00248,S007,P058,2026-02-01,60,30
I00249,S007,P013,2026-02-01,105,40
I00250,S007,P008,2026-02-01,51,20
I00251,S007,P034,2026-02-01,56,5
I00252,S007,P007,2026-02-01,120,25
I00253,S007,P024,2026-02-01,124,5
I00254,S007,P035,2026-02-01,111,10
I00255,S007,P033,2026-02-01,55,25
I00256,S007,P015,2026-02-01,116,10
I00257,S007,P030,2026-02-01,99,15
I00258,S007,P025,2026-02-01,34,20
I00259,S007,P021,2026-02-01,49,30
I00260,S007,P022,2026-02-01,91,15
I00261,S007,P037,2026-02-01,51,15
I00262,S007,P009,2026-02-01,32,5
I00263,S007,P002,2026-02-01,15,15
I00264,S007,P028,2026-02-01,34,5
I00265,S007,P004,2026-02-01,119,20
I00266,S007,P005,2026-02-01,107,10
I00267,S008,P049,2026-02-01,10,20
I00268,S008,P022,2026-02-01,129,5
I00269,S008,P015,2026-02-01,108,25
I00270,S008,P057,2026-02-01,100,20
I00271,S008,P019,2026-02-01,25,20
I00272,S008,P039,2026-02-01,126,10
I00273,S008,P011,2026-02-01,21,25
I00274,S008,P051,2026-02-01,3,30
I00275,S008,P053,2026-02-01,104,10
I00276,S008,P041,2026-02-01,33,15
I00277,S008,P040,2026-02-01,75,10
I00278,S008,P054,2026-02-01,23,5
I00279,S008,P037,2026-02-01,122,30
I00280,S008,P036,2026-02-01,78,10
I00281,S008,P058,2026-02-01,117,40
I00282,S008,P006,2026-02-01,6,20
I00283,S008,P027,2026-02-01,118,40
I00284,S008,P034,2026-02-01,35,40
I00285,S008,P032,2026-02-01,103,10
I00286,S008,P014,2026-02-01,94,30
I00287,S008,P038,2026-02-01,118,30
I00288,S008,P031,2026-02-01,0,40
I00289,S008,P030,2026-02-01,18,20
I00290,S008,P018,2026-02-01,85,25
I00291,S008,P001,2026-02-01,8,15
I00292,S008,P028,2026-02-01,109,40
I00293,S008,P016,2026-02-01,69,30
I00294,S008,P043,2026-02-01,138,25
I00295,S008,P021,2026-02-01,53,40
I00296,S008,P052,2026-02-01,20,25
I00297,S008,P056,2026-02-01,85,30
I00298,S008,P008,2026-02-01,14,25
I00299,S008,P050,2026-02-01,93,5
I00300,S008,P005,2026-02-01,28,20
I00301,S008,P035,2026-02-01,93,20
I00302,S008,P047,2026-02-01,10,15
I00303,S008,P055,2026-02-01,93,10
I00304,S008,P002,2026-02-01,17,25
I00305,S009,P046,2026-02-01,94,40
I00306,S009,P050,2026-02-01,16,10
I00307,S009,P014,2026-02-01,117,5
I00308,S009,P009,2026-02-01,20,20
I00309,S009,P022,2026-02-01,45,15
I00310,S009,P016,2026-02-01,19,5
I00311,S009,P035,2026-02-01,42,15
I00312,S009,P008,2026-02-01,28,30
I00313,S009,P042,2026-02-01,37,20
I00314,S009,P031,2026-02-01,38,40
I00315,S009,P048,2026-02-01,52,25
I00316,S009,P049,2026-02-01,5,15
I00317,S009,P038,2026-02-01,106,30
I00318,S009,P045,2026-02-01,138,10
I00319,S009,P058,2026-02-01,121,15
I00320,S009,P015,2026-02-01,107,20
I00321,S009,P021,2026-02-01,5,15
I00322,S009,P023,2026-02-01,48,5
I00323,S009,P018,2026-02-01,5,40
I00324,S009,P033,2026-02-01,59,40
I00325,S009,P028,2026-02-01,133,30
I00326,S009,P052,2026-02-01,85,20
I00327,S009,P004,2026-02-01,87,30
I00328,S009,P005,2026-02-01,83,20
I00329,S009,P024,2026-02-01,135,40
I00330,S009,P043,2026-02-01,140,20
I00331,S009,P029,2026-02-01,117,15
I00332,S009,P032,2026-02-01,33,40
I00333,S009,P053,2026-02-01,78,10
I00334,S009,P055,2026-02-01,66,10
I00335,S009,P054,2026-02-01,123,15
I00336,S009,P039,2026-02-01,73,40
I00337,S009,P056,2026-02-01,12,10
I00338,S009,P027,2026-02-01,90,15
I00339,S009,P034,2026-02-01,116,10
I00340,S009,P010,2026-02-01,41,30
I00341,S009,P047,2026-02-01,137,15
I00342,S009,P020,2026-02-01,46,10
I00343,S010,P054,2026-02-01,1,30
I00344,S010,P046,2026-02-01,139,25
I00345,S010,P045,2026-02-01,84,30
I00346,S010,P043,2026-02-01,75,20
I00347,S010,P051,2026-02-01,74,40
I00348,S010,P010,2026-02-01,37,40
I00349,S010,P011,2026-02-01,113,15
I00350,S010,P016,2026-02-01,28,30
I00351,S010,P008,2026-02-01,122,5
I00352,S010,P003,2026-02-01,35,30
I00353,S010,P021,2026-02-01,29,15
I00354,S010,P037,2026-02-01,6,20
I00355,S010,P009,2026-02-01,56,20
I00356,S010,P029,2026-02-01,91,5
I00357,S010,P017,2026-02-01,83,5
I00358,S010,P024,2026-02-01,49,25
I00359,S010,P012,2026-02-01,134,10
I00360,S010,P014,2026-02-01,71,10
I00361,S010,P036,2026-02-01,5,5
I00362,S010,P056,2026-02-01,137,40
I00363,S010,P050,2026-02-01,114,30
I00364,S010,P023,2026-02-01,22,25
I00365,S010,P055,2026-02-01,100,10
I00366,S010,P058,2026-02-01,125,15
I00367,S010,P047,2026-02-01,130,5
I00368,S010,P035,2026-02-01,92,20
I00369,S010,P060,2026-02-01,37,30
I00370,S010,P020,2026-02-01,109,15
I00371,S010,P052,2026-02-01,98,15
I00372,S010,P030,2026-02-01,3,15
I00373,S010,P001,2026-02-01,88,15
I00374,S010,P013,2026-02-01,78,20
I00375,S010,P053,2026-02-01,22,10
I00376,S010,P025,2026-02-01,113,30
I00377,S010,P005,2026-02-01,106,40
I00378,S010,P015,2026-02-01,113,15
I00379,S010,P034,2026-02-01,41,40
I00380,S010,P026,2026-02-01,108,30
I00381,S011,P058,2026-02-01,118,10
I00382,S011,P027,2026-02-01,6,40
I00383,S011,P009,2026-02-01,0,10
I00384,S011,P054,2026-02-01,67,15
I00385,S011,P038,2026-02-01,120,5
I00386,S011,P039,2026-02-01,73,20
I00387,S011,P006,2026-02-01,45,20
I00388,S011,P010,2026-02-01,62,5
I00389,S011,P014,2026-02-01,30,40
I00390,S011,P020,2026-02-01,70,20
I00391,S011,P031,2026-02-01,17,25
I00392,S011,P034,2026-02-01,92,25
I00393,S011,P022,2026-02-01,123,25
I00394,S011,P005,2026-02-01,111,40
I00395,S011,P056,2026-02-01,66,30
I00396,S011,P025,2026-02-01,121,30
I00397,S011,P057,2026-02-01,30,15
I00398,S011,P001,2026-02-01,131,30
I00399,S011,P059,2026-02-01,4,40
I00400,S011,P041,2026-02-01,66,10
I00401,S011,P018,2026-02-01,14,10
I00402,S011,P042,2026-02-01,81,20
I00403,S011,P012,2026-02-01,34,15
I00404,S011,P036,2026-02-01,41,5
I00405,S011,P030,2026-02-01,69,15
I00406,S011,P060,2026-02-01,107,30
I00407,S011,P013,2026-02-01,91,5
I00408,S011,P046,2026-02-01,74,15
I00409,S011,P045,2026-02-01,135,30
I00410,S011,P053,2026-02-01,19,25
I00411,S011,P040,2026-02-01,49,40
I00412,S011,P016,2026-02-01,46,40
I00413,S011,P002,2026-02-01,24,25
I00414,S011,P055,2026-02-01,42,25
I00415,S011,P050,2026-02-01,82,40
I00416,S011,P019,2026-02-01,80,40
I00417,S011,P026,2026-02-01,77,15
I00418,S011,P029,2026-02-01,92,5
I00419,S012,P035,2026-02-01,35,40
I00420,S012,P038,2026-02-01,113,25
I00421,S012,P023,2026-02-01,133,40
I00422,S012,P053,2026-02-01,87,10
I00423,S012,P010,2026-02-01,77,5
I00424,S012,P001,2026-02-01,30,10
I00425,S012,P009,2026-02-01,32,40
I00426,S012,P034,2026-02-01,36,30
I00427,S012,P019,2026-02-01,58,15
I00428,S012,P024,2026-02-01,32,10
I00429,S012,P050,2026-02-01,33,5
I00430,S012,P032,2026-02-01,108,30
I00431,S012,P027,2026-02-01,28,5
I00432,S012,P022,2026-02-01,4,40
I00433,S012,P011,2026-02-01,123,40
I00434,S012,P007,2026-02-01,110,5
I00435,S012,P014,2026-02-01,50,5
I00436,S012,P056,2026-02-01,8,40
I00437,S012,P033,2026-02-01,131,25
I00438,S012,P015,2026-02-01,15,20
I00439,S012,P013,2026-02-01,30,15
I00440,S012,P036,2026-02-01,11,5
I00441,S012,P057,2026-02-01,77,30
I00442,S012,P060,2026-02-01,2,40
I00443,S012,P039,2026-02-01,24,40
I00444,S012,P008,2026-02-01,31,25
I00445,S012,P048,2026-02-01,52,25
I00446,S012,P030,2026-02-01,51,10
I00447,S012,P005,2026-02-01,89,5
I00448,S012,P004,2026-02-01,23,10
I00449,S012,P059,2026-02-01,71,25
I00450,S012,P049,2026-02-01,89,15
I00451,S012,P055,2026-02-01,41,40
I00452,S012,P016,2026-02-01,128,40
I00453,S012,P012,2026-02-01,61,25
I00454,S012,P043,2026-02-01,17,5
I00455,S012,P058,2026-02-01,3,25
I00456,S012,P026,2026-02-01,55,30
I00457,S001,P013,2026-03-01,10,5
I00458,S001,P019,2026-03-01,83,20
I00459,S001,P011,2026-03-01,29,20
I00460,S001,P049,2026-03-01,72,20
I00461,S001,P035,2026-03-01,79,30
I00462,S001,P001,2026-03-01,113,10
I00463,S001,P047,2026-03-01,104,15
I00464,S001,P007,2026-03-01,109,10
I00465,S001,P014,2026-03-01,17,40
I00466,S001,P033,2026-03-01,121,30
I00467,S001,P046,2026-03-01,94,10
I00468,S001,P031,2026-03-01,3,30
I00469,S001,P024,2026-03-01,125,30
I00470,S001,P045,2026-03-01,26,20
I00471,S001,P038,2026-03-01,112,25
I00472,S001,P012,2026-03-01,21,5
I00473,S001,P029,2026-03-01,36,20
I00474,S001,P053,2026-03-01,102,30
I00475,S001,P054,2026-03-01,26,30
I00476,S001,P023,2026-03-01,43,5
I00477,S001,P025,2026-03-01,93,10
I00478,S001,P028,2026-03-01,86,10
I00479,S001,P052,2026-03-01,103,5
I00480,S001,P051,2026-03-01,59,40
I00481,S001,P015,2026-03-01,108,30
I00482,S001,P027,2026-03-01,127,15
I00483,S001,P008,2026-03-01,69,40
I00484,S001,P021,2026-03-01,102,15
I00485,S001,P034,2026-03-01,121,30
I00486,S001,P036,2026-03-01,103,20
I00487,S001,P004,2026-03-01,130,15
I00488,S001,P017,2026-03-01,37,40
I00489,S001,P005,2026-03-01,116,5
I00490,S001,P016,2026-03-01,31,15
I00491,S001,P040,2026-03-01,125,20
I00492,S001,P042,2026-03-01,59,30
I00493,S001,P041,2026-03-01,34,5
I00494,S001,P010,2026-03-01,25,30
I00495,S002,P004,2026-03-01,113,20
I00496,S002,P054,2026-03-01,9,5
I00497,S002,P005,2026-03-01,45,25
I00498,S002,P032,2026-03-01,77,30
I00499,S002,P044,2026-03-01,42,20
I00500,S002,P002,2026-03-01,110,10
I00501,S002,P012,2026-03-01,79,30
I00502,S002,P025,2026-03-01,99,20
I00503,S002,P039,2026-03-01,28,25
I00504,S002,P056,2026-03-01,125,30
I00505,S002,P021,2026-03-01,138,25
I00506,S002,P010,2026-03-01,120,20
I00507,S002,P020,2026-03-01,40,25
I00508,S002,P040,2026-03-01,14,20
I00509,S002,P047,2026-03-01,67,20
I00510,S002,P007,2026-03-01,96,25
I00511,S002,P058,2026-03-01,90,40
I00512,S002,P043,2026-03-01,72,15
I00513,S002,P034,2026-03-01,15,5
I00514,S002,P057,2026-03-01,11,10
I00515,S002,P030,2026-03-01,93,15
I00516,S002,P013,2026-03-01,6,40
I00517,S002,P019,2026-03-01,87,20
I00518,S002,P041,2026-03-01,24,20
I00519,S002,P037,2026-03-01,88,15
I00520,S002,P033,2026-03-01,105,15
I00521,S002,P017,2026-03-01,14,30
I00522,S002,P022,2026-03-01,62,10
I00523,S002,P055,2026-03-01,60,30
I00524,S002,P031,2026-03-01,79,25
I00525,S002,P053,2026-03-01,21,30
I00526,S002,P036,2026-03-01,16,40
I00527,S002,P014,2026-03-01,78,5
I00528,S002,P060,2026-03-01,86,10
I00529,S002,P052,2026-03-01,5,25
I00530,S002,P015,2026-03-01,83,5
I00531,S002,P011,2026-03-01,117,30
I00532,S002,P026,2026-03-01,108,25
I00533,S003,P033,2026-03-01,12,15
I00534,S003,P058,2026-03-01,102,40
I00535,S003,P027,2026-03-01,57,25
I00536,S003,P018,2026-03-01,23,30
I00537,S003,P002,2026-03-01,24,25
I00538,S003,P045,2026-03-01,86,15
I00539,S003,P031,2026-03-01,17,25
I00540,S003,P038,2026-03-01,135,20
I00541,S003,P056,2026-03-01,109,10
I00542,S003,P021,2026-03-01,88,40
I00543,S003,P025,2026-03-01,19,30
I00544,S003,P037,2026-03-01,77,25
I00545,S003,P050,2026-03-01,76,20
I00546,S003,P051,2026-03-01,138,15
I00547,S003,P049,2026-03-01,51,20
I00548,S003,P007,2026-03-01,102,15
I00549,S003,P032,2026-03-01,131,20
I00550,S003,P055,2026-03-01,140,10
I00551,S003,P014,2026-03-01,4,30
I00552,S003,P022,2026-03-01,132,40
I00553,S003,P044,2026-03-01,47,25
I00554,S003,P060,2026-03-01,127,10
I00555,S003,P041,2026-03-01,119,15
I00556,S003,P011,2026-03-01,136,40
I00557,S003,P020,2026-03-01,111,25
I00558,S003,P024,2026-03-01,15,25
I00559,S003,P028,2026-03-01,51,15
I00560,S003,P013,2026-03-01,118,10
I00561,S003,P040,2026-03-01,61,10
I00562,S003,P047,2026-03-01,76,40
I00563,S003,P034,2026-03-01,111,20
I00564,S003,P026,2026-03-01,81,40
I00565,S003,P003,2026-03-01,16,30
I00566,S003,P059,2026-03-01,52,40
I00567,S003,P057,2026-03-01,105,15
I00568,S003,P043,2026-03-01,73,30
I00569,S003,P010,2026-03-01,41,15
I00570,S003,P009,2026-03-01,60,20
I00571,S004,P016,2026-03-01,23,20
I00572,S004,P008,2026-03-01,35,10
I00573,S004,P010,2026-03-01,28,25
I00574,S004,P013,2026-03-01,128,5
I00575,S004,P002,2026-03-01,133,30
I00576,S004,P060,2026-03-01,134,15
I00577,S004,P052,2026-03-01,127,5
I00578,S004,P053,2026-03-01,60,25
I00579,S004,P020,2026-03-01,31,40
I00580,S004,P030,2026-03-01,80,15
I00581,S004,P032,2026-03-01,99,40
I00582,S004,P036,2026-03-01,60,20
I00583,S004,P028,2026-03-01,55,10
I00584,S004,P048,2026-03-01,27,10
I00585,S004,P042,2026-03-01,54,15
I00586,S004,P003,2026-03-01,112,20
I00587,S004,P057,2026-03-01,65,40
I00588,S004,P011,2026-03-01,14,20
I00589,S004,P018,2026-03-01,136,15
I00590,S004,P009,2026-03-01,28,15
I00591,S004,P056,2026-03-01,139,20
I00592,S004,P017,2026-03-01,121,30
I00593,S004,P046,2026-03-01,63,15
I00594,S004,P049,2026-03-01,37,15
I00595,S004,P012,2026-03-01,121,30
I00596,S004,P045,2026-03-01,94,40
I00597,S004,P050,2026-03-01,78,5
I00598,S004,P040,2026-03-01,8,40
I00599,S004,P004,2026-03-01,13,30
I00600,S004,P047,2026-03-01,61,15
I00601,S004,P029,2026-03-01,98,15
I00602,S004,P035,2026-03-01,92,40
I00603,S004,P043,2026-03-01,31,25
I00604,S004,P054,2026-03-01,60,40
I00605,S004,P058,2026-03-01,113,20
I00606,S004,P051,2026-03-01,2,20
I00607,S004,P014,2026-03-01,65,15
I00608,S004,P037,2026-03-01,23,40
I00609,S005,P049,2026-03-01,34,5
I00610,S005,P016,2026-03-01,102,10
I00611,S005,P020,2026-03-01,78,15
I00612,S005,P014,2026-03-01,21,5
I00613,S005,P056,2026-03-01,40,10
I00614,S005,P011,2026-03-01,132,30
I00615,S005,P029,2026-03-01,33,40
I00616,S005,P041,2026-03-01,105,40
I00617,S005,P021,2026-03-01,81,20
I00618,S005,P050,2026-03-01,122,40
I00619,S005,P042,2026-03-01,34,15
I00620,S005,P027,2026-03-01,44,30
I00621,S005,P003,2026-03-01,83,40
I00622,S005,P018,2026-03-01,72,10
I00623,S005,P006,2026-03-01,21,20
I00624,S005,P032,2026-03-01,94,10
I00625,S005,P031,2026-03-01,100,20
I00626,S005,P060,2026-03-01,57,5
I00627,S005,P022,2026-03-01,5,25
I00628,S005,P028,2026-03-01,58,5
I00629,S005,P007,2026-03-01,118,10
I00630,S005,P055,2026-03-01,67,30
I00631,S005,P017,2026-03-01,43,5
I00632,S005,P033,2026-03-01,102,25
I00633,S005,P005,2026-03-01,109,25
I00634,S005,P023,2026-03-01,66,10
I00635,S005,P043,2026-03-01,22,15
I00636,S005,P052,2026-03-01,43,25
I00637,S005,P030,2026-03-01,30,5
I00638,S005,P035,2026-03-01,134,20
I00639,S005,P001,2026-03-01,116,40
I00640,S005,P025,2026-03-01,126,5
I00641,S005,P002,2026-03-01,57,30
I00642,S005,P037,2026-03-01,52,10
I00643,S005,P034,2026-03-01,68,15
I00644,S005,P046,2026-03-01,126,20
I00645,S005,P026,2026-03-01,33,20
I00646,S005,P015,2026-03-01,52,25
I00647,S006,P014,2026-03-01,13,15
I00648,S006,P053,2026-03-01,60,20
I00649,S006,P019,2026-03-01,90,25
I00650,S006,P047,2026-03-01,11,5
I00651,S006,P044,2026-03-01,64,25
I00652,S006,P013,2026-03-01,97,15
I00653,S006,P027,2026-03-01,101,30
I00654,S006,P012,2026-03-01,94,10
I00655,S006,P054,2026-03-01,10,25
I00656,S006,P051,2026-03-01,45,15
I00657,S006,P010,2026-03-01,43,25
I00658,S006,P002,2026-03-01,126,15
I00659,S006,P058,2026-03-01,119,10
I00660,S006,P017,2026-03-01,22,15
I00661,S006,P016,2026-03-01,135,20
I00662,S006,P040,2026-03-01,36,15
